Model,RMSE,MAE,R2
LightGBM,1.0411585808425643,0.41405556455114123,0.5798122214777345
XGBoost,1.0577257827983464,0.3732812702655792,0.566333532333374
RandomForest,1.1111582130875834,0.36636962119730004,0.5214123886807815
Stacking,1.0360338530430664,0.37552424769730597,0.5839384871389017
