RMSE,R2,MAE,Fold
0.39510554627828504,0.8699946799489637,0.12116987656204177,1
0.4705473953856452,0.8218500484363988,0.1459343490796145,2
0.3849092090386173,0.8912517051644178,0.12836745470829639,3
0.4301482684558638,0.8886527430954688,0.13348596611800914,4
0.5451258745379075,0.8293366976136769,0.158138571658267,5
